#           x             y             z           U_x           U_y           U_z
  3.22679e-18             0             8             0             0             0
         0.01          0.01             8   1.45789e-06   1.45787e-06       1.12455
         0.01          0.01             8   1.45789e-06   1.45787e-06       1.12455
         0.02          0.02             8   6.00035e-06   6.00032e-06       3.00928
         0.02          0.02             8   6.00035e-06   6.00032e-06       3.00928
         0.03          0.03             8   1.03283e-05   1.03283e-05       4.77105
         0.03          0.03             8   1.03283e-05   1.03283e-05       4.77105
         0.04          0.04             8   8.63474e-06   8.63472e-06       5.98151
         0.04          0.04             8   8.63474e-06   8.63472e-06       5.98151
         0.05          0.05             8   3.74411e-11   5.68717e-11       6.40985
         0.05          0.05             8   3.74411e-11   5.68717e-11       6.40985
         0.06          0.06             8  -8.63484e-06  -8.63478e-06       5.98151
         0.06          0.06             8  -8.63484e-06  -8.63478e-06       5.98151
         0.07          0.07             8  -1.03284e-05  -1.03284e-05       4.77105
         0.07          0.07             8  -1.03284e-05  -1.03284e-05       4.77105
         0.08          0.08             8  -6.00036e-06  -6.00028e-06       3.00928
         0.08          0.08             8  -6.00036e-06  -6.00028e-06       3.00928
         0.09          0.09             8  -1.45796e-06  -1.45791e-06       1.12455
         0.09          0.09             8  -1.45796e-06  -1.45791e-06       1.12455
          0.1           0.1             8             0             0             0
